OBJECTID,IGS_ID,Permit_Number,County,Land_Type,Land_Number,Township,Range,Operator_Name,Lease_Name,Well_Number,Status,Twp_Direction,Rng_Direction,HydroFrac,Utmx,Utmy,Method,ClassII,permit_int,igs_int,Scan Status,Current Status,x,y
641,100146,100146,Daviess,Section,5,2,5,Hart Bros. Oil Co.,Graves,4,Orphaned,N,W,0,501562,4275692,scaled,,100146,100146,,0,-9682798.5995,4668776.6747
57280,157746,1012,Blackford,Section,8,23,11,Clamme,Clamme,1,Orphaned,N,E,0,644055,4479111,gps,,1012,157746,,1,-9495687.5889,4931580.2803
58226,158715,10139,Henry,Section,20,17,10,Antonetto Fort,ANTONETTO FORT,1,Orphaned,N,E,,634893,4418908,gps,,10139,158715,N,1,-9509114.8852,4852805.125
11949,111602,1022,Posey,Section,8,6,12,Nelson Development Company,Peter & Caroline Horstman,3,Orphaned,S,W,,430653,4208384,scaled,,1022,111602,N,1,-9772746.1705,4582323.1292
45402,145485,11267,Rush,Section,25,13,9,Austin & Lorinda Willis,AUSTIN & LORINDA WILLIS,1,Orphaned,N,E,,630684,4378669,gps,,11267,145485,N,1,-9515483.8093,4800440.3863
15557,115246,115246,Pike,Section,22,1,9,Consolidated Oil Development Co.,J.Q. McDaniel,1,Orphaned,S,W,0,465155,4251942,gps,,115246,115246,,1,-9729228.274,4638225.6223
15639,115331,115331,Pike,Section,23,1,9,unknown,Enos Loveless,1,Orphaned,S,W,,467341,4252629,gps,,115331,115331,,1,-9726444.446,4639117.0194
46607,146692,116,Shelby,Section,3,14,7,J. Harvey Snider Etal,Kemper,1,Orphaned,N,E,0,609243,4394142,gps,,116,146692,,1,-9542971.1857,4821016.4178
16645,116347,116347,Pike,Section,26,2,8,Murphy Oil Co.,J. Yeager,,Orphaned,S,W,,476372,4240268,gps,,116347,116347,,1,-9714881.7164,4623341.0924
3099,102643,11804,Vanderburgh,Section,25,5,11,"A. Dewus, Jr. Exploration & Producing, Inc.",Marie D. Knighton,1,Orphaned,S,W,,449015,4212944,scaled,,11804,102643,N,1,-9749495.8704,4588304.3532
20587,120335,1188,Sullivan,Section,34,8,10,C.C. Davis,Huff,5,Orphaned,N,W,,455881,4326370,pdms,,1188,120335,,1,-9741582.3493,4733903.2617
21112,120860,120860,Sullivan,Section,36,9,10,Cummins Petroleum Co.,M.J.Beard   a/c 1,11,Orphaned,N,W,,459427,4336249,aerophoto,,120860,120860,,1,-9737084.1867,4746702.5604
21116,120864,120864,Sullivan,Section,36,9,10,Cummins Petroleum Co.,M.J. Beard  a/c 1,9,Orphaned,N,W,,459566,4336303,aerophoto,,120864,120864,,1,-9736905.4171,4746773.3619
21121,120869,120869,Sullivan,Section,36,9,10,Cummins Petroleum Co.,M.J.Beard a/c 1,WS-1,Orphaned,N,W,,459423,4336494,scaled,,120869,120869,,1,-9737090.9768,4747019.5478
21203,120952,120952,Sullivan,Section,36,9,10,Kennedy Oil Co.,Jennie Heien Wood,2,Orphaned,N,W,,459953,4336423,scaled,,120952,120952,,1,-9736407.4786,4746931.2062
21204,120953,120953,Sullivan,Section,36,9,10,Kennedy Oil Co.,Jennie Heien Wood,5,Orphaned,N,W,,460081,4336556,scaled,,120953,120953,,1,-9736243.395,4747104.1478
21206,120955,120955,Sullivan,Section,36,9,10,Kennedy Oil Co.,Jennie Heien Wood,1,Orphaned,N,W,,460089,4336429,scaled,,120955,120955,,1,-9736232.2512,4746939.868
21207,120956,120956,Sullivan,Section,36,9,10,Kennedy Oil Co.,Jennie Heien Wood,4,Orphaned,N,W,,459947,4336515,scaled,,120956,120956,,1,-9736415.8171,4747050.2102
24909,124684,124684,Harrison,Section,4,5,4,Mahan,O'Brien,1,Orphaned,S,E,0,580267,4217787,gps,,124684,124684,,1,-9582881.0554,4594176.2983
25072,124850,124850,Harrison,Section,7,6,5,New Boston Oil & Gas Corp.,Fox,Unknown,Orphaned,S,E,,588320,4206804,gps,,124850,124850,,1,-9572808.4488,4580078.1596
25073,124851,124851,Harrison,Section,7,6,5,New Boston Oil & Gas Corp.,Fox,Unknown,Orphaned,S,E,,588299,4206813,gps,,124851,124851,,1,-9572834.9492,4580089.9066
26893,126706,126706,Marion,Section,27,17,5,Oaklandon Gas & Oil Co.,Pickle,1,Orphaned,N,E,0,590281,4416240,gps,,126706,126706,,0,-9567245.9615,4850177.8707
2881,102423,12701,Vanderburgh,Section,33,5,10,Truman W. Drake,JOHN EFFINGER,2A,Orphaned,S,W,,452172,4211040,pdms,,12701,102423,N,1,-9745475.6643,4585902.8529
60284,161000,12876,Sullivan,Section,5,8,9,Ottinger & Burgin,Shields,1,Orphaned,N,W,0,461590,4335461,gps,,12876,161000,,1,-9734291.7531,4745697.1086
34721,134635,134635,Decatur,Section,9,8,8,Deniston,Deniston,Unknown,Orphaned,N,E,0,617945,4334470,gps,,134635,134635,,1,-9532848.5528,4743389.2022
34754,134669,134669,Decatur,Section,10,9,8,Fisher,Fisher,Unknown,Orphaned,N,E,,619642,4343700,gps,,134669,134669,,1,-9530481.1237,4755298.7592
34769,134684,134684,Decatur,Section,33,9,8,"Unknown Operator, North",Unknown,Unknown,Orphaned,N,E,,616628,4338482,gps,,134684,134684,,1,-9534467.8538,4748604.2478
34881,134812,134812,Decatur,Section,22,9,9,Hoeing,Hoeing,Unknown,Orphaned,N,E,0,629074,4341320,gps,,134812,134812,,1,-9518370.0343,4752023.8574
34910,134841,134841,Decatur,Section,32,9,9,"Unknown Operator, North",Unknown,Unknown,Orphaned,N,E,,625695,4337554,gps,,134841,134841,,1,-9522803.4715,4747222.1849
34923,134854,134854,Decatur,Section,36,9,9,"Unknown Operator, North",Hahn,Unknown,Orphaned,N,E,0,632426,4338880,gps,,134854,134854,,1,-9514102.6498,4748794.0923
34925,134856,134856,Decatur,Section,3,9,10,Draping,Draping,Unknown,Orphaned,N,E,0,638301,4347228,gps,,134856,134856,,1,-9506342.271,4759468.2007
34941,134873,134873,Decatur,Section,20,9,10,Millhousen Natural Gas & Oil Co.,Millhousen Town Lot,Unknown,Orphaned,N,E,0,634850,4341441,gps,,134873,134873,,1,-9510922.3813,4752054.355
34988,134920,134920,Decatur,Section,1,10,9,"Unknown Operator, North",Unknown,Unknown,Orphaned,N,E,,631073,4355378,gps,,134920,134920,,1,-9515488.8293,4770190.5407
35014,134946,134946,Decatur,Section,4,10,9,"Unknown Operator, North",Brainbridge,Unknown,Orphaned,N,E,,626569,4355108,gps,,134946,134946,,1,-9521310.5073,4769937.0778
35045,134977,134977,Decatur,Section,13,10,9,Schroeder,Schroeder,Unknown,Orphaned,N,E,0,631895,4352608,gps,,134977,134977,,1,-9514487.9422,4766581.9441
35105,135039,135039,Decatur,Section,30,10,9,"Unknown Operator, North",McGee,Unknown,Orphaned,N,E,,623304,4348500,pdms,,135039,135039,,1,-9525661.4658,4761441.2263
35114,135049,135049,Decatur,Section,35,10,9,Jackson,Jackson,Unknown,Orphaned,N,E,0,630780,4348358,gps,,135049,135049,,1,-9516019.1594,4761099.654
35126,135061,135061,Decatur,Section,5,10,10,Greensburg Gas & Electric Company,Springmeir,Unknown,Orphaned,N,E,0,634629,4356954,gps,,135061,135061,,1,-9510861.917,4772155.3025
35131,135066,135066,Decatur,Section,6,10,10,"Unknown Operator, North",I.O.O.F. Home,Unknown,Orphaned,N,E,0,632864,4355957,gps,,135066,135066,,1,-9513163.4102,4770901.8746
35179,135114,135114,Decatur,Section,18,10,10,Robbins,Robbins,Unknown,Orphaned,N,E,0,633803,4352140,gps,,135114,135114,,1,-9512035.4611,4765933.2895
35180,135115,135115,Decatur,Section,18,10,10,Robbins,Robbins,Unknown,Orphaned,N,E,0,633839,4352720,gps,,135115,135115,,1,-9511976.1416,4766684.1513
35195,135130,135130,Decatur,Section,23,10,10,Decater Oil Co.,Clark,Unknown,Orphaned,N,E,0,639444,4351850,gps,,135130,135130,,1,-9504761.393,4765429.386
35196,135131,135131,Decatur,Section,23,10,10,Doles,Doles,Unknown,Orphaned,N,E,,639217,4351546,gps,,135131,135131,,1,-9505061.3669,4765040.7209
35271,135208,135208,Decatur,Section,14,11,8,Reed,Reed,Unknown,Orphaned,N,E,0,620486,4362667,gps,,135208,135208,,1,-9529014.2475,4779867.4128
35296,135233,135233,Decatur,Section,26,11,8,Zoller Gas Co.,Reed,38,Orphaned,N,E,,619990,4358513,gps,,135233,135233,,1,-9529738.2182,4774487.7764
35317,135255,135255,Decatur,Section,1,11,9,Clarksburg Gas Co.,Meek,Unknown,Orphaned,N,E,,632113,4365467,gps,,135255,135255,,1,-9513924.4039,4783256.2801
