Well API,Well Tier,Well Type,Operator Name,Field,Well Designation,CalGEM District,County,Lease,City,Latitude,Longitude,View in WellFinder,x,y
0411321222,Tier 3,Dry Gas,"Royale Energy, Inc.",Knights Landing Gas,N. Crossroads 4,Northern,Yolo,N. Crossroads,Yolo County,38.76601791,-121.71624756,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411321222&config=WellFinder,-148960.75889999978,84680.22550000064
0411321140,Tier 3,Dry Gas,"Royale Energy, Inc.",Dunnigan Hills Gas,Dunnigan Hills 1,Northern,Yolo,Dunnigan Hills,Yolo County,38.78840256,-121.97845459,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411321140&config=WellFinder,-171664.0427000001,87611.24220000021
0411320478,Tier 4,Dry Gas,Resources Engineering,Millar Gas,Deffebach 2,Northern,Yolo,Deffebach,Yolo County,38.3732338,-121.68412781,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411320478&config=WellFinder,-146948.75,40975.886900000274
0411320441,Tier 3,Dry Gas,Resources Engineering,Millar Gas,Deffebach 1,Northern,Yolo,Deffebach,Yolo County,38.37325668,-121.68639374,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411320441&config=WellFinder,-147146.39939999953,40981.944299999624
0411106056,Tier 4,Dry Hole,Santa Clara Oil & Dev. Co.,Any Field,1,Northern,Ventura,Unspecified,Ventura County,34.42179871,-119.00720215,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411106056&config=WellFinder,91228.84470000118,-398892.35479999986
0411106047,Tier 3,Dry Hole,Utah California Consolidated Co.,Any Field,Well No. 1,Northern,Ventura,Well No.,Fillmore,34.39410019,-118.89389038,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411106047&config=WellFinder,101676.41759999841,-401850.5982999997
0411105631,Tier 3,Dry Hole,Progressive Oil and Refining,Any Field,Well No. 1,Northern,Ventura,Well No.,Simi Valley,34.29294205,-118.6894455,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105631&config=WellFinder,120623.35440000147,-412834.8086000001
0411105484,Tier 2,Oil & Gas,"South Fork Ranch, LLC",West Mountain,Converse 5,Northern,Ventura,Converse,Ventura County,34.32822418,-119.05710602,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105484&config=WellFinder,86746.625,-409322.2834999999
0411105483,Tier 2,Oil & Gas,"South Fork Ranch, LLC",West Mountain,Converse 4,Northern,Ventura,Converse,Ventura County,34.32817078,-119.05714417,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105483&config=WellFinder,86743.17430000007,-409328.24340000004
0411105481,Tier 3,Oil & Gas,"South Fork Ranch, LLC",West Mountain,Converse 2,Northern,Ventura,Converse,Ventura County,34.33058929,-119.0597229,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105481&config=WellFinder,86503.27930000052,-409062.2516999999
0411105478,Tier 3,Unknown,"South Fork Ranch, LLC",West Mountain,C. & H. 14,Northern,Ventura,C. & H.,Ventura County,34.32399368,-119.06015778,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105478&config=WellFinder,86470.52809999883,-409794.46829999983
0411105477,Tier 2,Waterflood,"South Fork Ranch, LLC",West Mountain,C. & H. 13,Northern,Ventura,C. & H.,Ventura County,34.32502365,-119.06269836,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105477&config=WellFinder,86235.66200000048,-409682.5016000001
0411105474,Tier 2,Waterflood,"South Fork Ranch, LLC",West Mountain,C. & H. 9,Northern,Ventura,C. & H.,Ventura County,34.32638931,-119.06441498,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105474&config=WellFinder,86076.2377000004,-409532.5340999998
0411105473,Tier 3,Oil & Gas,"South Fork Ranch, LLC",West Mountain,C. & H. 8,Northern,Ventura,C. & H.,Ventura County,34.32457352,-119.06086731,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105473&config=WellFinder,86404.61320000142,-409730.77880000044
0411105472,Tier 3,Oil & Gas,"South Fork Ranch, LLC",West Mountain,C. & H. 7,Northern,Ventura,C. & H.,Ventura County,34.32460022,-119.06098175,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105472&config=WellFinder,86394.05539999902,-409727.92059999984
0411105471,Tier 3,Oil & Gas,"South Fork Ranch, LLC",West Mountain,C. & H. 6,Northern,Ventura,C. & H.,Ventura County,34.32458115,-119.06109619,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105471&config=WellFinder,86383.54780000076,-409730.14080000017
0411105470,Tier 2,Waterflood,"South Fork Ranch, LLC",West Mountain,C. & H. 5,Northern,Ventura,C. & H.,Ventura County,34.32621765,-119.06261444,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411105470&config=WellFinder,86242.0727000013,-409549.9445000002
0411104190,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 59,Northern,Ventura,Torrey,Ventura County,34.37303543,-118.78548431,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104190&config=WellFinder,111670.68980000168,-404065.95270000026
0411104186,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 55,Northern,Ventura,Torrey,Ventura County,34.37509537,-118.78002167,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104186&config=WellFinder,112169.98730000108,-403830.93900000025
0411104172,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 40,Northern,Ventura,Torrey,Ventura County,34.37652206,-118.7857132,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104172&config=WellFinder,111644.69029999897,-403679.3552000001
0411104171,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 39,Northern,Ventura,Torrey,Ventura County,34.37555313,-118.78730011,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104171&config=WellFinder,111500.17040000111,-403788.7326999996
0411104168,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 36,Northern,Ventura,Torrey,Ventura County,34.37165451,-118.78151703,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104168&config=WellFinder,112037.41360000148,-404214.4949000003
0411104148,Tier 5,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 16,Northern,Ventura,Torrey,Ventura County,34.37184906,-118.77996063,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104148&config=WellFinder,112180.23470000178,-404191.0678000003
0411104143,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 11,Northern,Ventura,Torrey,Ventura County,34.37497711,-118.78178406,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104143&config=WellFinder,112008.1248999983,-403846.1445000004
0411104141,Tier 4,Oil & Gas,Freeport-McMoRan Oil & Gas LLC,Torrey Canyon,Torrey 9,Northern,Ventura,Torrey,Ventura County,34.37392426,-118.791008,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411104141&config=WellFinder,111161.57999999821,-403973.82189999986
0411103803,Tier 2,Oil & Gas,Yoelin Family Trust,South Mountain,Hill 2,Northern,Ventura,Hill,Ventura County,34.33136749,-119.06774139,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411103803&config=WellFinder,85764.78180000186,-408983.19049999956
0411103802,Tier 2,Oil & Gas,Yoelin Family Trust,South Mountain,Hill 1,Northern,Ventura,Hill,Ventura County,34.33140945,-119.06781769,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411103802&config=WellFinder,85757.71689999849,-408978.6037999997
0411103198,Tier 3,Oil & Gas,Shamrock Drilling Co.,South Mountain,Richardson Ranch 1,Northern,Ventura,Richardson Ranch,Ventura County,34.34017181,-119.03917694,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411103198&config=WellFinder,88382.59450000152,-407980.0603
0411103195,Tier 3,Oil & Gas,"Thompson Oil Company, Inc.",South Mountain,National Richardson Ranch 1,Northern,Ventura,National Richardson Ranch,Ventura County,34.34223175,-119.03903961,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411103195&config=WellFinder,88392.90960000083,-407751.3677000003
0411102356,Tier 4,Oil & Gas,Union Oil Company of California,Santa Paula (ABD),Adams 18,Northern,Ventura,Adams,Ventura County,34.4087944,-119.1145401,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411102356&config=WellFinder,81379.39620000124,-400433.0932
0411102348,Tier 4,Oil & Gas,Union Oil Company of California,Santa Paula (ABD),Adams 10,Northern,Ventura,Adams,Ventura County,34.40930176,-119.11102295,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411102348&config=WellFinder,81702.10269999877,-400373.76889999956
0411102273,Tier 4,Oil & Gas,Thompson & Stever,Conejo (ABD),Well No. 1,Northern,Ventura,Well No.,Camarillo,34.20640564,-118.98683167,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411102273&config=WellFinder,93356.00950000063,-422771.09360000025
0411100315,Tier 2,Oil & Gas,"Thompson Oil Company, Inc.",Bardsdale,Well No. 1,Northern,Ventura,Well No.,Ventura County,34.35692215,-118.91954803,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411100315&config=WellFinder,99365.04520000145,-406003.04339999985
0411100045,Tier 3,Oil & Gas,"PRE Resources, LLC",Fillmore,S 14,Northern,Ventura,S,Ventura County,34.39905548,-118.9573288,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0411100045&config=WellFinder,95839.25710000098,-401366.83139999956
0410320409,Tier 3,Dry Gas,"Pioneer Exploration, LLC","Rice Creek, East, Gas",Victor Ranch 3-20,Northern,Tehama,Victor Ranch,Tehama County,39.83489609,-122.10510254,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320409&config=WellFinder,-180069.20580000058,204115.1654000003
0410320402,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 3-9,Northern,Tehama,Victor Ranch,Tehama County,39.86171341,-122.09481812,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320402&config=WellFinder,-179123.79649999924,207074.31010000035
0410320398,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 16,Northern,Tehama,George S. Reid Unit,Tehama County,39.84778595,-122.1441803,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320398&config=WellFinder,-183378.96570000052,205621.75569999963
0410320397,Tier 3,Dry Gas,"PEOCO, LLC",Malton-Black Butte Gas,Santa Clara 1,Northern,Tehama,Santa Clara,Tehama County,39.79907227,-122.21469879,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320397&config=WellFinder,-189535.36240000091,200349.78270000033
0410320395,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-17,Northern,Tehama,Victor Estate,Tehama County,39.84124756,-122.13582611,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320395&config=WellFinder,-182680.96130000055,204879.40719999932
0410320390,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Godfrey 1-5,Northern,Tehama,Godfrey,Tehama County,39.87024307,-122.12112427,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320390&config=WellFinder,-181351.62600000016,208071.70570000075
0410320387,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-15,Northern,Tehama,Victor Ranch,Tehama County,39.84260559,-122.1332016,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320387&config=WellFinder,-182453.12439999916,205025.1905000005
0410320386,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,DeCou 24-3,Northern,Tehama,DeCou,Tehama County,39.83327866,-122.14112854,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320386&config=WellFinder,-183154.4057,204004.52559999935
0410320385,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 18-14,Northern,Tehama,Victor Ranch,Tehama County,39.85458755,-122.12574005,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320385&config=WellFinder,-181785.1956999991,206341.69629999995
0410320384,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,DeCou 24-2,Northern,Tehama,DeCou,Tehama County,39.8405571,-122.14559174,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320384&config=WellFinder,-183517.8314999994,204821.5775000006
0410320383,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-17,Northern,Tehama,Victor Ranch,Tehama County,39.85586929,-122.13393402,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320383&config=WellFinder,-182482.59420000017,206499.80010000058
0410320381,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 19-6,Northern,Tehama,Victor Estate,Tehama County,39.838974,-122.13251495,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320381&config=WellFinder,-182403.47900000028,204620.5061000008
0410320380,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 12,Northern,Tehama,George S. Reid Unit,Tehama County,39.84662247,-122.15183258,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320380&config=WellFinder,-184036.24499999918,205507.35590000078
0410320377,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 15,Northern,Tehama,George S. Reid Unit,Tehama County,39.84937286,-122.15171051,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320377&config=WellFinder,-184018.8724000007,205812.60380000062
0410320376,Tier 2,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 13,Northern,Tehama,George S. Reid Unit,Tehama County,39.85155487,-122.14953613,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320376&config=WellFinder,-183827.4497999996,206050.74039999954
0410320375,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Drum Unit 1,Northern,Tehama,Drum Unit,Tehama County,39.83081055,-122.13865662,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320375&config=WellFinder,-182949.17449999973,203725.6172000002
0410320368,Tier 3,Dry Gas,"Pioneer Exploration, LLC","Rice Creek, East, Gas",Victor Ranch 9-16,Northern,Tehama,Victor Ranch,Tehama County,39.85165024,-122.08990479,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320368&config=WellFinder,-178728.37519999966,205947.31499999948
0410320366,Tier 3,Dry Gas,"Pioneer Exploration, LLC","Rice Creek, East, Gas",Victor Ranch 8-16,Northern,Tehama,Victor Ranch,Tehama County,39.85165787,-122.08998871,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320366&config=WellFinder,-178735.53219999932,205948.3206999991
0410320365,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 19-7,Northern,Tehama,Victor Estate,Tehama County,39.83555984,-122.13572693,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320365&config=WellFinder,-182686.71299999952,204247.47670000046
0410320363,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-10,Northern,Tehama,Victor Ranch,Tehama County,39.85718155,-122.13853455,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320363&config=WellFinder,-182872.65440000035,206654.41650000028
0410320362,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,George S. Reid Unit 14,Northern,Tehama,George S. Reid Unit,Tehama County,39.84783936,-122.14418793,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320362&config=WellFinder,-183379.48399999924,205627.70270000026
0410320361,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-12,Northern,Tehama,Victor Ranch,Tehama County,39.8559494,-122.14170837,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320361&config=WellFinder,-183147.10510000028,206523.68889999948
0410320360,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-13,Northern,Tehama,Victor Estate,Tehama County,39.84254837,-122.13319397,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320360&config=WellFinder,-182452.61500000022,205018.82039999962
0410320359,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 12-17,Northern,Tehama,Victor Ranch,Tehama County,39.8644104,-122.14212036,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320359&config=WellFinder,-183161.09380000085,207464.24010000005
0410320358,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-18,Northern,Tehama,Victor Ranch,Tehama County,39.85845566,-122.13165283,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320358&config=WellFinder,-182281.09080000035,206782.67870000005
0410320357,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Estate 18-16,Northern,Tehama,Victor Estate,Tehama County,39.85198975,-122.13938141,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320357&config=WellFinder,-182958.07469999976,206079.39949999936
0410320353,Tier 4,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-21,Northern,Tehama,Victor Ranch,Tehama County,39.86439896,-122.13672638,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320353&config=WellFinder,-182699.98790000007,207452.56189999916
0410320352,Tier 3,Dry Gas,"Pioneer Exploration, LLC",Rice Creek Gas,Victor Ranch 7-16A,Northern,Tehama,Victor Ranch,Tehama County,39.86429596,-122.14035034,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0410320352&config=WellFinder,-183010.06079999916,207448.11130000092
