Latitude,Longitude,Project,Status,LocationID,API,geometry
40.38471,-102.29526,Omimex Petroleum Bond Claim,_Federal,310932,125-11325,POINT (729588.7698035645 4473970.203784873)
40.37459,-102.29448,Omimex Petroleum Bond Claim,_Federal,310933,125-11326,POINT (729689.3825390525 4472848.732661473)
40.37846,-102.28364,Omimex Petroleum Bond Claim,_Federal,310934,125-11327,POINT (730596.568086949 4473306.602180412)
40.08333,-108.72355,Lasso Bond Claim,_Federal,311813,103-07380,POINT (182507.02508531796 4443654.119184809)
40.114666,-108.176811,31 Operating Bond Claim,_Federal,311814,,POINT (229258.68947266636 4445322.950415036)
40.98154,-107.64333,Painted Pegasus Bond Claim,_Federal,312994,,POINT (277618.7078285655 4540073.294008167)
40.95984,-107.62885,Painted Pegasus Bond Claim,_Federal,313066,,POINT (278764.4898244183 4537627.254259419)
40.97723,-107.62581,Painted Pegasus Bond Claim,_Federal,313096,,POINT (279078.40656191006 4539550.289938527)
40.06872,-108.79402,Lasso Bond Claim,_Federal,314339,103-05301,POINT (176427.5604661827 4442286.168003452)
40.07067,-108.77631,Lasso Bond Claim,_Federal,314342,103-05313,POINT (177947.53277771198 4442438.342011317)
40.07195,-108.77123,Lasso Bond Claim,_Federal,314343,103-05320,POINT (178386.9055624773 4442562.064192365)
40.07566,-108.84626,Lasso Bond Claim,_Federal,314348,103-05344,POINT (172004.4845760347 4443248.298099869)
40.07819,-108.80537,Lasso Bond Claim,_Federal,314351,103-05377,POINT (175504.35725718277 4443379.052239988)
40.08423,-108.8553,Lasso Bond Claim,_Federal,314361,103-05461,POINT (171274.67326985794 4444233.283689471)
40.201667,-107.09222,Stehle Oil Bond Claim,_Federal,314522,103-05906,POINT (321928.53625415784 4452239.793205151)
40.076704,-108.744878,Calco-Calliser Federal Bond Claim,_Federal,314686,,POINT (180657.0184870832 4442994.862053649)
40.075528,-108.744426,Calco-Calliser Federal Bond Claim,_Federal,314687,,POINT (180690.07034908555 4442862.663208932)
40.06809,-108.80275,Lasso Bond Claim,_Federal,314716,103-07049,POINT (175679.84242518555 4442248.044143348)
40.10748,-108.80743,Lasso Bond Claim,_Federal,314758,103-07149,POINT (175468.04102853272 4446638.767993169)
39.82701,-108.72236,Lasso Bond Claim,_Federal,314822,103-07322,POINT (181419.46896865184 4415190.46989062)
39.981027,-108.963597,Northstar Gas Bond Claim,_Federal,314858,103-07431,POINT (161527.41822384292 4433180.382110688)
39.966237,-108.982658,Northstar Gas Bond Claim,_Federal,314902,103-07513,POINT (159825.78479755158 4431610.809225883)
39.88312,-108.95911,Lasso Bond Claim,_Federal,314999,103-07728,POINT (161427.7441511635 4422292.136462383)
39.86395,-108.71748,Lasso Bond Claim,_Federal,315053,103-07833,POINT (182007.97597076616 4419274.4996716315)
39.83642,-108.71642,Lasso Bond Claim,_Federal,315054,103-07834,POINT (181971.44629120955 4416214.082904828)
