api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url
41-133-21968,"0010446","36.46955600000007","-85.26130599999999",Tennessee,Overton,,Barbara Martin #1,"Discovery Petroleum, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21968,https://tdeconline.tn.gov/oilgaswells/
41-133-21969,"0010451","36.42769400000003","-85.28469399999994",Tennessee,Overton,,James E. Garrett #1,"Garrett, James E.",,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21969,https://tdeconline.tn.gov/oilgaswells/
41-133-21970,"0010459","36.42988900000006","-85.19372199999998",Tennessee,Overton,,C. D. Newberry Heirs #13,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21970,https://tdeconline.tn.gov/oilgaswells/
41-133-21971,"0010460","36.39994400000006","-85.18172199999998",Tennessee,Overton,,Dr. Michael T. Cox #7,"CWT Natural Resources, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21971,https://tdeconline.tn.gov/oilgaswells/
41-133-21972,"0010462","36.42997200000008","-85.19511099999994",Tennessee,Overton,,Richard Smith #1,"North American Resource Group, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21972,https://tdeconline.tn.gov/oilgaswells/
41-133-21973,"0010463","36.39316700000006","-85.21222199999994",Tennessee,Overton,,Doris Eldridge Cooper #1,Carr Drilling Company,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21973,https://tdeconline.tn.gov/oilgaswells/
41-133-21974,"0010466","36.42894400000006","-85.19199999999995",Tennessee,Overton,,C. D. Newberry Heirs #14,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21974,https://tdeconline.tn.gov/oilgaswells/
41-133-21975,"0010473","36.43091700000008","-85.15102799999994",Tennessee,Overton,,Wayne McDonald #2,Dolomite Energy LLC,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21975,https://tdeconline.tn.gov/oilgaswells/
41-133-21976,"0010474","36.42908300000005","-85.15272199999998",Tennessee,Overton,,Wayne McDonald #5,Dolomite Energy LLC,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21976,https://tdeconline.tn.gov/oilgaswells/
41-133-21977,"0010471","36.42886100000004","-85.19522199999994",Tennessee,Overton,,Richard Smith #2,"North American Resource Group, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21977,https://tdeconline.tn.gov/oilgaswells/
41-133-21978,"0010475","36.422750000000065","-85.19227799999999",Tennessee,Overton,,Dave Williams #1,"North American Resource Group, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21978,https://tdeconline.tn.gov/oilgaswells/
41-133-21979,"0010476","36.431028000000026","-85.19616699999995",Tennessee,Overton,,CD Newberry Heirs #12 TW,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21979,https://tdeconline.tn.gov/oilgaswells/
41-133-21980,"0010479","36.42538900000005","-85.19438899999994",Tennessee,Overton,,Lonnie Richard Smith #3,Signature Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21980,https://tdeconline.tn.gov/oilgaswells/
41-133-21981,"0010480","36.426056000000074","-85.19561099999999",Tennessee,Overton,,Lonnie Richard Smith #4,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21981,https://tdeconline.tn.gov/oilgaswells/
41-133-21982,"0010484","36.39333300000004","-85.20705599999997",Tennessee,Overton,,Ora Mai Garce #5,Basin Oil & Gas Corp,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21982,https://tdeconline.tn.gov/oilgaswells/
41-133-21983,"0010485","36.39725000000004","-85.20994399999995",Tennessee,Overton,,Porter Beaty Heirs #1,Signature Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21983,https://tdeconline.tn.gov/oilgaswells/
41-133-21984,"0010488","36.40672200000006","-85.21972199999999",Tennessee,Overton,,Gerald Lee #2,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21984,https://tdeconline.tn.gov/oilgaswells/
41-133-21985,"0010489","36.44616700000006","-85.16286099999996",Tennessee,Overton,,Denny Padgett #1,"Arnco Oil & Gas, LLC",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21985,https://tdeconline.tn.gov/oilgaswells/
41-133-21986,"0010490","36.398694000000035","-85.21249999999998",Tennessee,Overton,,Doris Eldridge Cooper #4,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21986,https://tdeconline.tn.gov/oilgaswells/
41-133-21987,"0010493","36.429500000000075","-85.16291699999994",Tennessee,Overton,,Ethel Ringley #1,Lone Star Oil & Gas. Inc.,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21987,https://tdeconline.tn.gov/oilgaswells/
41-133-21988,"0010495","36.399583000000064","-85.21436099999994",Tennessee,Overton,,David Howard Unit #TW 3,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21988,https://tdeconline.tn.gov/oilgaswells/
41-133-21989,"0010496","36.43822200000005","-85.17347199999995",Tennessee,Overton,,Roger McDonald #15,John Henry Holding LLC,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21989,https://tdeconline.tn.gov/oilgaswells/
41-133-21990,"0010499","36.445861000000036","-85.16072199999996",Tennessee,Overton,,Denny Padgett #2,"Padgett, Denny",,,,,,Other / Unknown,https://wellwiki.org/wiki/41-133-21990,https://tdeconline.tn.gov/oilgaswells/
41-133-21991,"0010500","36.398833000000025","-85.21555599999994",Tennessee,Overton,,LB Linder #1,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21991,https://tdeconline.tn.gov/oilgaswells/
41-133-22321,"0011943","36.38822200000004","-85.18663899999996",Tennessee,Overton,,Richard Copeland #1,Keblo Energy,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-22321,https://tdeconline.tn.gov/oilgaswells/
41-133-22322,"0011944","36.490778000000034","-85.27633299999997",Tennessee,Overton,,Dezell Parrott #2,"LIMESTONE DRILLING, INC.",,,Abandoned Loc,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-22322,https://tdeconline.tn.gov/oilgaswells/
41-133-22323,"0011945","36.42597200000006","-85.35627799999997",Tennessee,Overton,,"Donald Dale, etal #1",Arrowhead Crude Inc,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-22323,https://tdeconline.tn.gov/oilgaswells/
41-133-22324,"0011946","36.494583000000034","-85.31266699999998",Tennessee,Overton,,Steve Daniels #1,"Outdoor Resources, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-22324,https://tdeconline.tn.gov/oilgaswells/
41-133-22325,"0011948","36.41686100000004","-85.19783299999995",Tennessee,Overton,,William Sells #2,Tennessee Energy Development,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-22325,https://tdeconline.tn.gov/oilgaswells/
